# SFRs_2, SFR1s_2, SFR2s_2
1.033609183265290193e-07,9.074205374653811277e-07,1.226702389789776959e-05
7.853380932983017181e-08,7.038505941212328382e-07,9.830794709743464682e-06
5.963650342299392410e-08,5.453252397049877069e-07,7.866604065461732927e-06
4.526326412596639011e-08,4.220393825373221999e-07,6.285607664053382839e-06
3.433842203560321182e-08,3.262809949908154003e-07,5.015113974055426166e-06
2.603980427540560666e-08,2.519946303092355647e-07,3.995768800220403307e-06
1.973966222899885613e-08,1.944334262308428038e-07,3.179205208514250463e-06
1.495917275101449711e-08,1.498822705174158645e-07,2.526087107432476995e-06
1.133344807567504037e-08,1.154380492140288246e-07,2.004484772881658237e-06
8.584666694014949642e-09,8.883557057221788939e-08,1.588529415693708542e-06
6.501469016202225278e-09,6.830994939116200659e-08,1.257301619650746891e-06
4.923177857320998499e-09,5.248802809295615070e-08,9.939152206156193842e-07
3.727728892710606479e-09,4.030287031687139116e-08,7.847640502820908976e-07
2.822449565920015025e-09,3.092654790988447355e-08,6.189040245368906710e-07
2.137021896742334771e-09,2.371740149799119899e-08,4.875474052275867463e-07
1.618117443517575383e-09,1.817872903914379777e-08,3.836497883339511531e-07
1.225310980432576999e-09,1.392647979601368843e-08,3.015735478701555924e-07
9.279708684716413365e-10,1.066403115382348975e-08,2.368141633534324658e-07
7.028946091725087819e-10,8.162525874246435842e-09,1.857781426868281233e-07
